Deutsch;Englisch
Ich esse kein Fleisch.;I dont eat meat.
Der Kunde kauft Geflügel.;The customer buys poultry.
Schneide das Brot bitte in Scheiben.;Please cut the bread in slices.
Ich schneide das Brötchen in zwei Hälften.;I cut the roll into two parts.
Der Kuchen im cafe ist sehr teuer.;The cake in the cafe is very expensive.
Da ist zu viel Salz an der Suppe.;There is too much salt in the soup.
Mein Kind bekommt keine Pommes Frites.;My child doesnt get any french fries.
Kinder mögen Schokolade.;Children like chocolate.
Geben sie mir noch ein bisschen Eis bitte.;Give me a little bit of icecream please.
Ich esse ein Brötchen mit Honig.;I eat a roll with honey.
Der Schinken kostet nur fünf Euro das Kilo.;The ham costs five euros for one kilogramm.
Die Marmelade ist aus Erdbeeren.;The jam is made of strawberries.
Ich möchte einen Kaffee mit Sahne bitte.;I want one coffee with cream please.
Der Mann kocht eine Soße aus Zwiebeln und Tomaten.;The man cooks a sauce out of onions and tomatoes.
Das Schnitzel kostet zwölf Euro im Restaurant.;The Schnitzel costs 12 Euros in the restaurant.
Die Lebensmittel im Supermarkt sind sehr günstig.;The foods in the supermarket are very cheap.
Tee Kaffee und Saft sind Getränke.;Tea, coffee and juice are drinks.
Ich trinke nur Bier.;I only drink beer.
Ich mag keinen Wein.;I dont like vine.
Ich möchte meinen Kaffee mit Milch und Zucker bitte.;I want my coffee with milk and sugar please.
Ich nehme ein bisschen Zucker in meinen Tee bitte.;I take a little bit of sugar in my tea please.
Das Kind mag Milch.;The child likes milk.
Der Saft ist sehr süß.;The juice is very sweet.
Ich trinke Mineralwasser aus der Flasche.;I drink mineral water out of the bottle.
Auf dem Markt gibt es frisches Gemüse.;There are fresh vegetables on the market.
Der Supermarkt verkauft gutes Essen.;The supermarket sells good food.
Am Kiosk gibt es kein Gemüse.;There kiosk does not have vegetables.
Ich kaufe ein Brot in der Bäckerei.;I buy one bread in the bakery.
Die Fleischerei verkauft Fleisch.;The butcher's sells meat.
Der Frisör ist sehr teuer.;The hair stylist is very expensive.
Ich trinke einen Kaffee im cafe.;I drink one coffee in the cafe.
Das Restaurant hat gutes Essen.;the restaurant has good food.
Es gibt nur Süßigkeiten in dem Geschäft.;There are only sweets in this store.
Die Kinder mögen kein Gemüse.;the children dont like vegetables.
Ich möchte eine Aubergine bitte.;I want one eggplant please.
Magst du keine Paprika?;You dont like paprika?
Ich esse Spinat mit Reis.;I eat spinach with rice.
Wir kochen Bohnen mit Kartoffeln und Soße.;We cook beans with potatoes and sauce.
Geben sie mir bitte ein Kilo Erbsen.;Give me a kilogramm of peas please.
Die Karotten kosten zwei Euro das Kilo.;The carots cost two euros per kilo.
Ich kaufe Mais aus der Dose.;I buy corn out of the can.
Die Kartoffeln sind verfault.;The potatoes are rotten.
Die Tomaten kommen aus Deutschland.;The tomatoes come from Germany.
Ich möchte nur eine Gurke bitte.;I want just one cucumber please.
Die Frau schneidet die Zwiebel in das Essen.;The woman cuts the onion into the meal.
Ich esse keine Zucchini.;I dont eat Zucchini.
Der Mann kocht eine Pilzsoße.;The man cooks a mushroom sauce.
Geben sie einhundert Gramm Nüsse in den Salat.;Add one hundred gramms of nuts to the salad.
Ich möchte keinen Salat bitte.;I dont want salad please.
Der Geldautomat gibt kein Geld aus.;The cash machine doesn't give out money.
Heute sind Erdbeeren im Angebot.;Strawberries are on offer today.
Welchen Preis haben die Tomaten?;Which price do the tomatoes have?
Der Kunde bezahlt an der Kasse.;The customer pays at the cashier.
In meiner Geldbörse sind hundert Euro.;There are 100 euros in my purse.
Ich habe meinen Ausweis in der Brieftasche.;I have my identity card in my wallet.
Die Rechnung kommt später.;The bill comes later.
Schreiben sie bitte ihre Kontonummer auf.;Please write down your account number.
Meine Bankleitzahl ist auf dem Formular.;My bank code is on the form.
Ich zahle mit Kreditkarte.;I pay with creditcard.
ich habe das Geld in meiner Geldbörse;I have the money in my purse.
In Deutschland zahlen sie mit Euros.;in Germany you pay with euros.
Haben sie noch zehn Cent?;Do you have another ten cents?
Mein Geld ist auf der Bank.;My money is in the bank.
Ich mag meine Mutter gerne.;I like my mother.
Die meisten Zitronen sind sauer.;Most lemons are sour.
Natürlich möchte ich Milch in meinen Kaffee.;Of course I want milk in my coffee.
Ich mag das nicht.;I don`t like that.
Ich nehme noch einen Kaffee.;I take one more coffee.
Ich habe nur zwei Euro.;I have only two euros.
Der Supermarkt ist zu.;The supermarket is closed.
Die Flasche ist auf.;The bottle is open.
Ich möchte Mineralwasser aus der Flasche.;I want mineral water out of the bottle.
Ab zwei Kilo kosten die Tomaten nur zwei Euro.;starting with two kilos tomatoes cost two euros
Er verkauft aber kein Brot.;But he does not sell bread.
Die Nudeln sind da.;The noodles are there.
Sie nimmt doch zwei Kilo Tomaten.;She takes yet two kilogramm of tomatoes.
Es ist egal.;it does not matter.
Ich habe eine Tüte dabei.;I have a bag with me.
Ich bin satt.;I am full.
Die Zitrone ist sehr sauer.;The lemon is sour.
Die Erdbeeren sind zu süß.;The strawberries are too sweet.
Die Suppe ist nicht sehr scharf.;The soup is not very spicy.
Ich mag mein Essen salzig.;I like my food salty.
Der Honig ist sehr billig.;The honey is very cheap.
Das Brot in der Bäckerei ist teuer.;The bread in the bakery is expensive.
Ich zahle in bar.;I pay in cash.
Die Milch im Supermarkt ist günstig.;The milk in the supermarket is cheap.
Ich möchte ein Kilo frische Tomaten bitte.;I want one kilo of fresh tomatoes please.
rot;red
gelb;yellow
blau;blue
grün;green
braun;brown
grau;grey
schwarz;black
weiß;white
rosa;pink
orange;orange
lila;purple
kurz;short
gleich;same
anders;different
neu;new
alt;old
preiswert;cheap
besonders;especially
weich;soft
echt;real
sich ausziehen;to undress oneself
sich anziehen;to dress oneself
empfehlen;to recommend
passen;to fit
vergleichen;to compare
gehören;to belong to
tragen;to wear
gefallen;to like
ausgeben;to spend
brauchen;to need
die Kleidung;the cloth
die Hose;the pants
der Rock;the skirt
das Kleid;the dress
die Bluse;the blouse
das Hemd;the shirt
der Anzug;the suit
die Krawatte;the tie
das Kostüm;the costume
der Pullover;the pullover
die Weste;the vest
das T-Shirt;the T-Shirt
die Jeans;the jeans
die Jacke;the jacket
der Mantel;the coat
die Mütze;the hat
der Handschuh;the gloves
der Schal;the scarf
das Kopftuch;the headscarf
der Gürtel;the belt
der Schuh;the shoe
der Stiefel;the boot
die Socke;the sock
das Unterhemd;the undershirt
die Unterhose;the under pants
die Farbe;the colour
der Ring;the ring
die Qualität;the quality
das Kaufhaus;the department store
die Ermäßigung;the reduction
das Sonderangebot;the special offer
jede;every
letzte;last
denn;because , for
manche;some
beide;both
mehrere;several
dafür;for that
eigene;own
einverstanden;agreed
paar;a few
bis zu;up to
einige;some
ohne;without
sondern;but
Das Kind zieht seine Kleidung aus.;The child takes off his clothes.
Der Mann zieht sich an.;The man puts on his clothes.
Der Verkäufer empfiehlt die rote Jacke.;The seller recommends the red jacket.
Passen dir die Schuhe?;Do these shoes fit you?
Die Frau vergleicht die Sonderangebote.;The woman compares the special offers.
Die Socken gehören meinem Kind.;The socks belong to my child.
Sie trägt ein rotes T-Shirt und einen kurzen Rock.;She wears a red T-Shirt and a short skirt.
Gefällt dir mein Pullover?;Do you like my pullover?
Ich gebe nur zwanzig Euro aus.;I only spend twenty euros.
Brauchen sie auch noch ein Hemd?;Do you need another shirt.
Du trägst schöne Kleidung.;You wear nice clothes.
Ziehen sie bitte die Hose aus.;Please take off your pants.
Die Frau zieht sich einen anderen Rock an.;The woman puts on another skirt.
Dein Kleid ist rot.;Your dress is red.
Ihre Bluse ist sehr teuer.;Her blouse is very expensive.
Wir tragen das gleiche T-Shirt.;We wear the same T-shirt.
Der Gast trägt einen billigen Anzug.;The guest wears a cheap suit.
Der Verkäufer gibt mir eine rote Krawatte.;The seller gives me a red tie.
Das Kostüm ist ein Sonderangebot.;The costume is a special offer.
Geben sie mir eine Ermäßigung für den Pullover.;Do you give me a discount for this pullover?
Der Mann trägt keine Weste.;The man wears no vest.
Das T-Shirt passt dem Kind nicht.;The t-shirt doesnt fit the child.
Seine Jeans sind blau.;His jeans are blue.
Der Verkäufer empfiehlt dem Mann die schwarze Jacke.;The seller recommends the black jacket to the man.
Den Mantel kaufe ich nicht.;I dont buy this coat.
Das Kind zieht eine gute Mütze an.;The child puts on a good hat.
Die Frau trägt keine Handschuhe.;The woman does not wear gloves.
Dein Schal gefällt mir.;I like your scarf.
Ich gebe nur zehn Euro für das Kopftuch aus.;I only spend ten euros for the headscarf.
Gehört dir der Gürtel?;Does this belt belong to you?
Meine Schuhe sind zu alt.;My shoes are too old.
Die Stiefel gehören mir nicht.;These boots dont belong to me.
Ich brauche neue Socken.;I need new socks.
Das Kind trägt kein Unterhemd.;The child wears no undershirt.
Meine Unterhosen kommen aus Deutschland.;My underpants are from Germany.
Die Hose hat eine schöne Farbe.;This pair of pants has a nice color.
Sie trägt einen schönen Ring.;She wears a nice ring.
Die Qualität der T-Shirts ist sehr schlecht.;The quality of the shirt is very bad.
Ich kaufe meine Kleidung im Kaufhaus.;I buy my clothes in the department store.
Ich brauche eine Ermäßigung, sonst kaufe ich die Hose nicht.;I need a reduction, else I dont buy these pants.
Der Pullover ist ein Sonderangebot.;This pullover is a special offer.
Jede Hose kostet nur zwanzig Euro.;Each pair of pants costs only twenty euros.
Das ist das letzte grüne T-Shirt.;That is the last green t-shirt.
Ich brauche kein T-Shirt, denn ich habe noch viele.;I dont need a shirt, because I still have many.
Manche Geschäfte haben keine Socken mehr.;Some stores dont have socks anymore.
Beide Hosen sind sehr schön.;Both pair of pants are very beautiful.
Ich brauche mehrere T-Shirts.;I need a couple of t-shirts.
Ich gebe ihnen nur zehn Euro dafür.;I only give you ten euros for that.
Sind das ihre eigenen Schuhe?;Are these your own shoes.
Ich bin einverstanden.;I agree.
Der Mann braucht ein paar Schuhe.;The man needs a pair of shoes.
Die T-Shirts kosten bis zu dreißig Euro.;The t-shirts cost up to thirty euros.
Wir haben nur einige Jacken.;We only have a couple of jackets.
Die Hose verkaufen wir ohne den Gürtel.;We sell the pants without the belt.
Du brauchst kein T-Shirt sondern einen Pullover.;You dont need a t-shirt but a pullover.
Das Kind trägt ein rotes T-Shirt.;The child wears a red shirt.
Ich möchte bitte eine gelbe Jacke.;I want a yellow jacket please.
Die Frau trägt ein blaues Kopftuch.;The woman wears a blue headscarf.
Mein Pullover ist grün.;My pullover is green.
Die Farbe seiner Hose ist braun.;The color of his pants is brown.
Er trägt eine graue Mütze.;He wears a gray hat.
Wir brauchen schwarze Schuhe.;We need black shoes.
Wem gehören die weißen Socken?;Whom do the white socks belong to?
Ihr Kostüm ist rosa.;Her costume is pink.
Ich kaufe den orangenen Rock.;I buy the orange skirt.
Ich trage keine lila Hose.;I wear no purple pants.
Die Frau trägt einen kurzen Rock.;The woman wears a short skirt.
Ich helfe ihnen gleich.;I will help you immediately.
Haben sie auch andere T-Shirts?;Do you have other t-shirts?
Mein Kind braucht neue Schuhe.;My child needs new shoes.
Seine Jacke ist sehr alt.;His jacket is very old.
Die Kleidung in dem Geschäft ist sehr preiswert.;The clothes in the store are very cheap.
Das Kleid ist besonders schön.;This dress is especially beautiful.
Sein Pullover ist sehr weich.;His pullover is very soft.
Die Jeans ist eine echte Levis.;This jeans is a real levis.
duschen;to shower
baden;to bathe
sich kämmen;to comb oneself
sich rasieren;to shave oneself
rauchen;to smoke
riechen;to smell
schmecken;to taste
sitzen;to sit
stehen;to stand
warten;to find
wehtun;to hurt
ansehen;to look at
da sein;to be there
dauern;to last
sagen;to say
abgeben;to hand over
passieren;to happen
untersuchen;examine
wehtun;to hurt
anschauen;to look at
mitnehmen;to bring with
müssen;to have to
dürfen;may
melden;to notify
tun;to do
vermeiden;to avoid
wirken;seem
warten;to wait
pflegen;to nurse
reagieren;to react
ausruhen;ro relax
hinfallen;to fall
zunehmen;to gain weight
beraten;to council
machen;to make
sollen;to shall
Bescheid sagen;to give the word
die Seife;the soap
das Shampoo;the shampoo
das Handtuch;the towel
die Zahnbürste;the toothbrush
die Zahnpasta;the toothpaste
die Creme;the cream
das Pflaster;the patch
das Medikament;medication
die Tablette;pill
der Arzt/ die Ärztin;the doctor
die Krankenschwester;the nurse
der Patient/ die Patientin;the patient
die Versichertenkarte;the insurance-card
die Praxis;the surgery
das Krankenhaus;the hospital
der Krankenwagen;the ambulance
der Verband;the bandage
die Vergangenheit;the past
die Fitness;the fitness
das Problem;the problem
die Reihenfolge;the order
das Mal;the times, one time
die Anmeldung;the reception
die Apotheke;the pharmacy
das Wartezimmer;the waiting room
die Ahnung;the suspicion
die Hilfe;the help
Versichertenkarte;the insurance card
die Vorsicht;the caution
der Alkohol;the alcohol
der Schnupfen;the sniff
die Besserung;the recovery
die Salbe;the salve
der Spaziergang;the walk
der Tipp;the hint
die Situation;the situation
der Notdienst;the emergency service
die Notrufnummer;the emergency phone number
Nichtraucher;non-smoker
der Körper;the body
der Kopf;the head
die Brust;the chest
das Bein;the leg
der Fuß;the foot
der Hals;the neck
der  Bauch;the belly
das Knie;the knee
der Zeh;the toe
der Rücken;the back
die Schulter;the shoulder
der Arm;the arm
der Ellbogen;the elbow
der Finger;the finger
die Hand;the hand
der Po;the butt
das Gesicht;the face
das Haar;the hair
die Nase;the nose
der Mund;the mouth
die Lippe;the lip
der Zahn;the tooth
die Zunge;the tongue
das Ohr;the ear
das Auge;the eye
die Haut;the skin
das Herz;the heart
der Schmerz;the pain
das Fieber;the fever
das Blut;the blood
die Krankheit;the sickness
die Gesundheit;the health
der Husten;the cough
die Diät;the diet
die Erkältung;the cold
die Bewegung;the movement
bei;at
bestimmt;surely
beste;the best
manchmal;sometimes
meistens;mostly
mal;one time
diese;this
endlich;finally
schließlich;finally
sonst;else
schon;already
deshalb;therefor
hoffentlich;hopefully
nie;never
damit;so that
gesund;healthy
krank;sick
tot;dead
dick;fat
dünn;thin
groß;big
klein;small
oft;often
ungesund;unhealthy
wichtig;important
plötzlich;suddenly
schlimm;terrible
persönlich;personally
selten;rare
möglich;possible
aktiv;active
normal;normal
schlank;slim
regelmäßig;regularly
Das Kind duscht abends.;The child showers in the evening.
Die Frau badet nie.;The woman never bathes.
Der Mann kämmt sich die Haare.;The man combs his hairs.
Ich rasiere mich immer morgens.;I always shave in the morning.
Das Kind raucht eine Zigarette.;The child smokes a cigarette.
Deine Füße riechen nicht gut.;Your feet dont smell good.
Das Essen schmeckt sehr gut.;The food tastes very good.
Der Patient sitzt im Wartezimmer.;The patient sits in the waiting room.
Ich stehe auf beiden Füßen.;I stand on both feet.
Ich warte auf die Krankenschwester.;I wait for the nurse.
Mein Bauch tut weh.;My belly hurts.
Der Arzt sieht sich meinen Körper an.;The doctor is looking at my body.
Die Seife ist nicht da.;The soap is not there.
Es dauert sehr lange beim Arzt.;It takes a lot of time at the doctor.
Sagen sie mir wo es weh tut.;Tell me where it hurts.
Geben sie bitte ihre Versichertenkarte in der Anmeldung ab.;Please give your insurance card to the reception.
Was ist passiert?;What happened?
Der Arzt untersucht den Patienten.;The doctor examines the patient.
Das muss sich der Arzt anschauen.;The doctor has to look at this.
Nehmen sie bitte ihre Versichertenkarte mit.;Please take your insurance card with you.
Sie müssen mehr trinken.;You have to drink more.
Sie dürfen nicht so viel rauchen.;You must not smoke so much.
Melden sie sich bitte beim Notdienst.;Please report to the emergency service.
Tun sie das nicht.;Dont do that.
Vermeiden sie bitte Alkohol.;Please avoid alcohol.
Das Medikament wirkt nicht.;The medication has no effect.
Sie wartet auf Hilfe.;She waits for help.
Die Krankenschwester pflegt den Mann.;The nurse cares for the man.
Sie müssen sofort reagieren.;You have to react immediately.
Die Frauen müssen sich ausruhen.;The women must rest.
Das Kind fällt hin.;The child falls.
Sie dürfen nicht noch mehr zunehmen.;You must not gain more weight.
Der Mann in der Apotheke berät die kranke Frau.;The man in the pharmacy councils the sick woman.
Sie müssen mehr Fitness machen.;You have to do more fitness.
Wie oft soll ich das Medikament nehmen?;How often shall I take the medication?
Sagen sie bitte im Wartezimmer bescheid.;please give the word to the waiting room.
Die Seife kostet nur zwei Euro.;The soap costs only two euros.
Das Shampoo ist aus dem Supermarkt.;The shampoo is from the supermarket.
Das Handtuch brauche ich nicht.;I dont need the towel.
Ich habe zwei Zahnbürsten.;I have two toothbrushes.
Das Kind nimmt keine Zahnpasta.;The child does not use toothpaste.
Der Arzt empfiehlt dem Mann eine Creme.;The doctor recommends a cream to the man.
Das Pflaster hilft nicht.;The patch doesnt help.
Das Medikament wirkt gut.;The medication has a good effect.
Ich nehme morgens und abends Tabletten.;I take pills in the morning and in the evening.
Der Arzt sagt du bist gesund.;The doctor says you are healthy.
Die Krankenschwester ist sehr schön.;The nurse is very beautiful.
Der Patient muss auf den Arzt warten.;The patient has to wait for the doctor.
Sie müssen ihre Versichertenkarte mitbringen.;You have to bring your insurance card with you.
Ich bin in der Arztpraxis.;I am in the doctors office.
Im Krankenhaus haben sie nichts gemacht.;In the hospital they did nothing.
Der Krankenwagen kommt zu uns.;The ambulance is coming to us.
Sie brauchen einen Verband.;You need a bandage.
In der Vergangenheit war meine Ernährung sehr schlecht.;In the past my nutrition was very bad.
Du musst mehr Fitness machen.;You have to do more Fitness.
Ich habe ein Problem mit dem Medikament.;I have a problem with the medication.
Im Wartezimmer gibt es eine Reihenfolge.;There is an order in the waiting room.
Sie war dieses Jahr fünf Mal krank.;She was sick five times this year.
Ich bin an der Anmeldung.;I am at the reception.
Die Apotheke verkauft dieses Medikament nicht.;The pharmacy doesnt sell this medication.
Warten sie bitte im Wartezimmer.;Please wait in the waiting room.
Ich habe keine Ahnung was das Problem ist.;I have no clue what the problem is.
Brauchen sie meine Hilfe?;You need my help?
Haben sie ihre Versichertenkarte dabei?;Do you have your insurance card with you?
Vorsicht mit Alkohol.;Careful with Alcohol.
Zu viel Alkohol ist schlecht für ihre Gesundheit.;Too much alcohol is bad for your health.
Ich habe nur einen Schnupfen.;I just have a sniff.
Gute Besserung.;get well soon.
Die Salbe hilft.;The salve helps.
Machen sie jeden Tag einen Spaziergang.;Take on walk every day.
Der Arzt hat mir einen guten Tipp gegeben.;The doctor has given me a good hint.
In ihrer Situation dürfen sie keinen Alkohol trinken.;In your situation you must not drink alcohol.
Ich sage dem Notdienst bescheid.;I give word to the emergency service.
Wählen sie bitte die Notrufnummer.;Please dial the emergency number.
Sind sie Nichtraucher?;Are you non-smoker?
Mein Körper ist gesund.;My body is healthy.
Mein Kopf tut weh.;My head hurts.
Deine Brust tut weh.;Your chest hurts.
Sein Bein ist dick.;His leg is thick.
Was ist mit deinem Fuß passiert?;What has happened with your foot?
Der Hals tut weh.;The neck hurts.
Ich habe Bauchschmerzen.;I have a pain in my belly.
Ich muss mein Knie ausruhen.;I have to relax my knee.
Dein Zeh ist sehr groß.;Your toe is very big.
Auf deinem Rücken ist Blut.;There is blood on your back.
Unsere Schultern sind schön.;Our shoulders are beautiful.
Der Arzt soll sich deinen Arm ansehen.;The doctor shall have a look at your arm.
Seit wann tut ihnen der Ellenbogen weh?;Since when does your elbow hurt?
Ich brauche einen Ring für meinen Finger.;I need a ring for my finger.
Die Hand des Kindes ist klein.;The hand of the child is small.
Ihr Po ist sehr dick.;Her butt is very fat.
Er hat ein schönes Gesicht.;He has a nice face.
Sie kämmt sich die Haare.;She combs her hair.
Mit deiner Nase musst du zum Arzt.;With your nose you have to go to the doctor.
Sie hat einen kleinen Mund.;She has a small mouth.
Meinen Lippen reagieren schlecht auf die Salbe.;My lips respond bad to the salve.
Mein Zahn tut sehr weh.;My tooth hurts very much.
Der Mann hat keine Zunge.;The man does not have a tongue.
Ich habe Ohrenschmerzen.;I have a pain in my ear.
Deine Augen sind gut.;Your eyes are good.
Ihre Haut ist ungesund.;Her skin is not healthy.
Der Mann braucht ein neues Herz.;The man needs a new heart.
Ich habe große Schmerzen.;I have a lot of pain.
Sie haben Fieber.;You have fever.
Du hast Blut auf deinem T-Shirt.;You have blood on your shirt.
Das Kind hat eine schlimme Krankheit.;the child has a bad illness.
Die Gesundheit ist sehr wichtig.;Health is very important.
Wie lange haben sie den Husten?;How long do you have the cough?
Sie müssen eine Diät machen.;You have to make a diet.
Ich habe nur eine Erkältung.;I only have a cold.
Das Kind braucht viel Bewegung.;The child needs a lot of movement.
Der Mann ist beim Arzt.;The man is at the doctor.
Brauchen sie ein bestimmtes Medikament.;Do you need a certain medication?
Die beste Medizin ist auch sehr teuer.;The best medication is also very expensive.
Manchmal rauche ich zu viel.;Sometimes I smoke too much.
Beim Arzt muss ich meistens warten.;Most of the time I have to wait at the doctor.
Nehmen sie das Medikament bitte drei mal am Tag.;Please take the medication three times a day.
Dieser Fuß tut nicht weh.;This foot does not hurt.
Endlich sind wir im Krankenhaus.;Finally we are at the hospital.
Sie sind schließlich nicht gesund.;You are not healthy after all.
Sie dürfen dem Kind keinen Alkohol geben sonst wird es krank.;You must not give alcohol to the child or else it will get sick.
Ich habe meine Tabletten heute schon genommen.;I have taken my pills already today.
Sie sind krank deshalb müssen sie das Medikament nehmen.;You are sick therefore you have to take the medication.
Hoffentlich wird mein Kind gesund.;Hopefully my child will be healthy.
Ich trinke nie Alkohol.;I never drink alcohol.
Ich nehme die Tabletten damit ich gesund werde.;I take the pills in order to become healthy.
Die Frau ist gesund.;The woman is healthy.
Der Mann ist krank.;The man is sick.
Der Patient ist tot.;The patient is dead.
Das Kind ist zu dick.;The child is too fat.
Wir müssen weniger essen damit wir dünner werden.;We have to eat less in order to become thinner.
Du hast eine große Nase.;You have a big nose.
Ich möchte nur einen kleinen Apfel.;I just want a small apple.
Wie oft gehst du zum Arzt?;How often do you go to the doctor?
Alkohol ist sehr ungesund.;Alcohol is not very healthy.
Ihre Gesundheit ist ihr sehr wichtig.;Her healthy is of great importance to her.
Plötzlich hat das Kind Fieber gehabt.;Suddenly the child has had fever.
Das ist eine schlimme Situation.;That is a terrible situation.
Das kann ich dem Mann nur persönlich sagen.;This I can tell the man only in person.
Wir sind sehr selten krank.;We are rarely sick.
Ein Termin heute ist nicht möglich.;An appointment today is not possible.
Der Mann ist noch sehr aktiv.;The man is yet very active.
Ich habe einen normalen Körper.;I have a normal body.
Sie hat einen sehr schlanken Körper.;She has a slim body.
Ich gehe regelmäßig zum Arzt.;I go to the doctor regularly.
sich freuen;to be glad
lachen;to laugh
weinen;to cry
sich hinlegen;to lie oneself down
wünschen;to wish
berichten;to report
Lust haben;to feel like
werden;to become
lächeln;to smile
denken;to think
sich sorgen;to worry about
leider;unfortunately
man;one (person)
immer;always
wirklich;really
schade;too bad
also;so
eigentlich;actually
glücklich;happy
zufrieden;satisfied
unglücklich;unhappy
lieb;nice
böse;evil
lustig;funny
traurig;sad
wach;awake
müde;tired
klar;sure
WAHR;true
prima;great
toll;very good
nett;nice
angenehm;pleasant
freundlich;friendly
Sie freut sich sehr über das Geschenk.;She is very glad about the present.
Das Kind lacht über den Mann.;The child laughs about the man.
Die Frau weint jeden Tag.;The woman cries every day.
Ich möchte mich jetzt gerne hinlegen.;I would like to lie down now.
Ich wünsche mir ein schönes Geschenk.;I wish a nice a present for me.
Das Kind berichtet von seinem Tag.;The child tells of its day.
Wir haben keine Lust zu kochen.;We dont feel like cooking.
Wirst du mir endlich helfen?;Will you finally help me?
Der Mann sagt Hallo und die Frau lächelt.;The man says hello and the woman smiles.
Ich denke das Restaurant ist nicht sehr gut.;I think the restaurant is not very good.
Der Arzt sorgt sich um die Gesundheit des Patienten.;The doctor worries about the health of his patient.
leider kann ich ihnen nicht helfen.;unfortunately I can not help you.
Das macht man hier nicht.;you do not do this here.
Ich habe wirklich großen Hunger.;I am really very hungry.
Schade das Restaurant ist schon zu.;Too bad, the restaurant is already closed.
Ich habe Hunger also esse ich eine Pizza.;I am hungry therefore I eat a Pizza.
Eigentlich möchte ich nicht mit Ihnen sprechen.;Actually I dont want to talk to you.
Ich bin nicht glücklich.;I am not happy.
Ich bin sehr zufrieden mit dir.;I am very pleased with you.
Ich bin heute sehr unglücklich.;Today I am very unhappy.
Ich habe dich sehr lieb.;I love you very much.
Das Kind war sehr böse.;The child was bad.
Der Kellner im Restaurant ist sehr lustig.;The waiter in the restaurant is very funny.
Jetzt bin ich traurig.;Now I am sad.
Heute morgen war ich früh wach.;Today morning I was awake early.
Das Kind hat wenig geschlafen und ist deshalb sehr müde.;The child slept only a little and is therefor very tired.
Na klar.;Of course.
Ist das wirklich wahr?;Is that really true?
Das hast du prima gemacht.;That you did fine.
Das ist wirklich ein tolles Restaurant.;That is really a great restaurant.
Der Gast aus Deutschland ist sehr nett.;The guest from Germany is very nice.
Es war sehr angenehm für mich.;It was very pleasant for me.
Der Verkäufer ist immer freundlich zu den Kunden.;The seller is always friendly with his customers.
fahren;to drive
einsteigen;to enter
aussteigen;to get off
reisen;to travel
fliegen;to fly
gehen;to go
laufen;to run
holen;to get
bringen;to bring
bleiben;to stay
treffen;to meet
suchen;to search
finden;to find
zeigen;to show
verabschieden;to say goodbye
verbinden;to connect
führen;to lead
mitkommen;come with
umsteigen;to change (bus)
mitbringen;bring with
planen;to play
hupen;to honk
organisieren;to organize
verreisen;to travel away
ankommen;to arrive
auspacken;to unpack
informieren;to inform
packen;to pack
parken;to park
abfahren;to depart
hingehen;to go there
schicken;to send
trennen;to seperate
wiederkommen;to come back
zurückfahren;to drive back
buchen;to book
wiedersehen;to see again
reservieren;to reserve
gelten;to apply to
mitfahren;to drive with
die Stadt;the city
das Dorf;the village
die Kirche;the church
das Hotel;the hotel
die Haltestelle;the stop
der Bahnhof;the train station
der Bahnsteig;the platform
der Flughafen;the airport
der Hafen;the port
der Strand;the beach
die Stadtmitte;the middle of the city
der Stadtplan;the city map
der Stadtteil;the district
das Stadtzentrum;citycenter
die Station;the station
die Stelle;the location
das Rathaus;the town hall
der Parkplatz;the parking space
das Zentrum;the center
die Hauptstadt;the capitol
die Großstadt;the big city
die Küste;the coast
das Einzelzimmer;room for one
das Doppelzimmer;room for two
der Platz;the place
der Abflug;the departure
die Ankunft;the arrival
das Gepäck;the luggage
der Koffer;the suitcase
die Tasche;the bag
der Zoll;duty
Achtung;attention
Hilfe;help
die Region;the region
die Übernachtung;the overnight stay
der Weg;the way
die Fußgängerzone;the pedestrian zone
die Reservierung;the reservation
der Ausflug;the trip
die Auskunft;the information
der Hinweis;the hint
die Linie;the line
die Nähe;the closeness
die Richtung;the direction
die Kontrolle;the control
die Zone;the zone
die Durchsage;the announcement
die Gebühr;the fee
die Rezeption;the reception
die Rückkehr;the come back
der Rucksack;the bag
der Sand;the sand
das Reisebüro;the travel agency
der Reiseführer;the travel guide
der Tourist/ die Touristin;the tourist
der Urlaub;the holidays
die Beschwerde;the complaint
der Verkehr;traffic
das Schild;a sign
die Ampel;the traffic light
die Kreuzung;the crossing
die Straße;the street
die Autobahn;the highway
die Brücke;the bridge
der Tunnel;the tunnel
die Tankstelle;the gas station
der Unfall;the accident
der Führerschein;the drivers licence
die Fahrt;the journey
das Auto;the car
der Radfahrer/ die Radfahrerin;the biker
das Fahrrad;the bike
der Lkw;the truck
das Taxi;the taxi
der Bus;the bus
die S-Bahn;the s-bahn
die U-Bahn;the subway
die Straßenbahn;the tram
der Zug;the train
das Flugzeug;the airplane
das Schiff;the ship
das Verkehrsmittel;the means of transportation
links;left
rechts;right
geradeaus;straight
vor;in front
zurück;behind
hier;here
durch;through
los;go ahead!
weg;away
dahinten;back there
davorne;over there
nun;now
wegen;because of
zwischen;between
dort;there
selbst;self
weiter;further
zurück;back
hin;forth
zurzeit;currently
der Fahrplan;the driving schedule
die Fahrkarte;the ticket
der Automat;the machine
die Ankunft;the arrival
das Gleis;the track
die Abfahrt;the departure
die Reise;the voyage
das Ticket;the ticket
die Strecke;the route
die Information;the information
die Ansage;the announcement
die Verbindung;the connection
verboten;forbidden
erlaubt;allowed
